Result file for: SPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 9/6/2016 2:14:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Response codes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0: No response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1: False Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2: False Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3: User was unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4: Correct positive response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5: Correct negative response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responses:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAV #11 Response Time:,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.078,0,3.715,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint#:,1a,2a,4a,5a,6a,7a,13a,18a,19a,23a,28a,29a,30a,31a,39a,43a,47a,51a,52a,53a,56a,57a,63a,66a,68a,75a,77a,80a,82a,83a,85a,86a,,,,,
UAV #12 Responses :,5,5,5,5,5,2,5,5,4,2,5,2,5,4,2,4,4,4,5,5,5,4,2,4,4,5,5,5,5,5,4,5,,,,,
UAV #12 Target Time Stamp :,0,0,0,0,0,0,0,0,7.434,0,0,0,0,8.42,0,8.977,8.623,6.113,0,0,0,9.339,0,7.1,7.771,0,0,0,0,0,7.473,0,,,,,
UAV #12 Response Time:,0,0,0,0,0,0,0,0,1.434,0,0,0,0,2.42,0,2.977,2.623,0.113,0,0,0,3.339,0,1.1,1.771,0,0,0,0,0,1.473,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint#:,10a,12a,14a,16a,21a,22a,27a,36a,37a,38a,42a,45a,49a,54a,56a,59a,62a,66a,67a,69a,73a,75a,78a,80a,82a,84a,86a,87a,88a,,,,,,,,
UAV #13 Responses :,2,5,2,5,5,5,5,5,5,4,2,4,2,5,5,5,5,5,5,5,5,5,5,2,2,5,4,5,5,,,,,,,,
UAV #13 Target Time Stamp :,0,0,0,0,0,0,0,0,0,9.218,0,8.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.785,0,0,,,,,,,,
UAV #13 Response Time:,0,0,0,0,0,0,0,0,0,2.218,0,1.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint#:,0a,8a,14a,15a,18a,21a,23a,26a,34a,39a,40a,47a,54a,58a,61a,64a,67a,72a,74a,75a,79a,80a,81a,84a,85a,86a,87a,,,,,,,,,,
UAV #14 Responses :,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,,,,,,,,,,
UAV #14 Target Time Stamp :,0,0,0,0,0,0,0,0,7.37,0,0,0,0,0,0,0,0,6.581,0,0,0,0,6.816,0,0,0,0,,,,,,,,,,
UAV #14 Response Time:,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0.581,0,0,0,0,0.816,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint#:,11a,13a,14a,18a,22a,27a,29a,33a,38a,39a,42a,46a,50a,51a,55a,56a,60a,63a,66a,70a,71a,74a,75a,76a,78a,81a,82a,86a,88a,89a,,,,,,,
UAV #15 Responses :,5,5,5,5,5,2,5,5,5,2,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5,5,5,4,,,,,,,
UAV #15 Target Time Stamp :,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.934,0,0,0,0,8.136,0,0,0,6.348,0,0,0,0,9.144,,,,,,,
UAV #15 Response Time:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.934,0,0,0,0,4.136,0,0,0,2.348,0,0,0,0,5.144,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint#:,1a,2a,3a,4a,5a,9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAV #16 Responses :,4,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAV #16 Target Time Stamp :,9.074,0,0,0,5.944,8.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAV #16 Response Time:,6.074,0,0,0,2.944,5.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Targets seen every 1 minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timespans:, 0-1minutes,,Total,0-1minutes,,Total,1-2minutes,Total,2-3minutes,,Total,3-4minutes,Total,4-5minutes,Total,5-6minutes,Total,6-7minutes,,Total,7-8minutes,Total,8-9minutes,Total,9-10minutes,,Total,10-11minutes,,Total,11-12minutes,Total,12-13minutes,,Total,13-14minutes,
UAV #1:,23.993,-,1,-,-,0,-,0,-,-,0,304.003,1,363.991,1,414.004,1,-,-,0,534.014,1,-,0,633.996,-,1,-,-,0,-,0,-,-,0,,
UAV #2:,43.006,-,1,-,-,0,-,0,222.995,-,1,-,0,332.987,1,402.99,1,442.99,-,1,513,1,552.998,1,603.026,662.988,2,692.999,703.006,2,772.991,1,-,-,0,842.986,882.992
UAV #3:,-,-,0,117,-,1,-,0,-,-,0,257.008,1,-,0,376.993,1,-,-,0,506.99,1,596.996,1,-,-,0,-,-,0,-,0,-,-,0,,
UAV #4:,-,-,0,104.003,-,1,174.018,1,243.994,-,1,-,0,-,0,424.01,1,-,-,0,-,0,-,0,-,-,0,-,-,0,-,0,834.025,-,1,,
