ParticipantNumber,TryNumber,Workload,simulationDateTime,Counter,CursorX,CursorY,CursorState,LeftEyeX,LeftEyeY,LeftEyeZ,LeftEyePupilDiamet,LeftEyePupilValid,RightEyeX,RightEyeY,RightEyeZ,RightEyePupilDiame,RightEyePupilValid,FixedPogX,FixedPogY,FixedPogStart,FixedPogDuration,FixedPogId,FixedPogValid,LeftPogX,LeftPogY,LeftPogValid,RightPogX,RightPogY,RightPogValid,BestPogX,BestPogY,BestPogValid,LeftPupilX,LeftPupilY,LeftPupilDiameter,LeftPupilScale,LeftPupilValid,RightPupilX,RightPupilY,RightPupilDiameter,RightPupilScale,RightPupilValid,MarkerX,MarkerY,MarkerScale,MarkerValid,SystemTime,Time,TimeTick,UserData,MissionTime
114,T,Training,D20200305T0747,220556,1003.648,840.5712,0,-74.0096,-28.7424,0.69476,4.14,1,97.40799999999999,-33.9408,0.73763,3.92,1,1548.9024,-11.664000000000001,1536.51,0.033569999999999996,5119,1,1470.8992,-51.2928,1,1603.9936,-95.68799999999999,1,1537.4336,-73.4976,1,1003.648,840.5712,17.54609,1.01581,1,1626.496,855.1439999999999,16.472839999999998,1.01581,1,0.51549,0.52113,0.20658,1,7:47:43 AM,1536.5439999999999,2350000000000.0,,2.3179999999997563
114,T,Training,D20200305T0747,220557,1003.5968,840.5712,0,-75.1616,-29.1168,0.7056100000000001,4.11,1,97.40799999999999,-33.624,0.73763,4.14,1,1547.4176,-22.5504,1536.51,0.040530000000000004,5119,1,1470.1312,-65.232,1,1606.9632,-110.4624,1,1538.56,-87.84,1,1003.5968,840.5712,17.52659,1.02362,1,1626.5984,855.3456,16.47743,1.02362,1,0.51549,0.52113,0.20658,1,7:47:43 AM,1536.5510000000002,2350000000000.0,,2.3250000000000455
114,T,Training,D20200305T0747,220558,1002.9568,840.312,0,-75.1616,-29.1168,0.7056100000000001,4.04,1,97.40799999999999,-33.624,0.73763,3.95,1,1547.0079999999998,-30.1248,1536.51,0.04688,5119,1,1549.8239999999998,-98.928,1,1538.3039999999999,-67.2768,1,1544.0639999999999,-83.1024,1,1002.9568,840.312,17.79522,1.02362,1,1626.2656,855.288,16.66225,1.02362,1,0.51588,0.52054,0.20726999999999998,1,7:47:43 AM,1536.557,2350000000000.0,,2.3309999999999036
114,T,Training,D20200305T0747,220559,1002.4192,840.3839999999999,0,-75.1616,-29.1168,0.7056100000000001,4.05,1,97.40799999999999,-33.624,0.73763,4.02,1,1542.3232,-31.752,1536.51,0.05334,5119,1,1498.9568,-5.1984,1,1510.8352,-84.3408,1,1504.896,-44.7696,1,1002.4192,840.3839999999999,17.78051,1.02362,1,1626.112,855.1728,16.657429999999998,1.02362,1,0.51578,0.52035,0.20679,1,7:47:43 AM,1536.5639999999999,2350000000000.0,,2.337999999999738
114,T,Training,D20200305T0747,220560,1002.1888,840.4416,0,-72.44800000000001,-27.8352,0.6763899999999999,4.1,1,89.0112,-30.8016,0.67594,4.03,1,1538.2528,-30.1392,1536.51,0.06042,5119,1,1499.5456,8.28,1,1503.4879999999998,-39.6144,1,1501.5168,-15.6672,1,1002.1888,840.4416,17.86219,1.01581,1,1626.2912,855.1728,16.57822,0.99944,1,0.51578,0.52035,0.20679,1,7:47:43 AM,1536.5710000000001,2350000000000.0,,2.3450000000000273
114,T,Training,D20200305T0747,220561,1001.6,840.7152,0,-72.44800000000001,-27.8352,0.6763899999999999,4.07,1,89.0112,-30.8016,0.67594,3.97,1,1537.3568,-28.1664,1536.51,0.06677000000000001,5119,1,1491.4304,-42.8256,1,1565.3376,26.1072,1,1528.3712,-8.3664,1,1001.6,840.7152,17.703960000000002,0.9916299999999999,1,1625.0368,854.8848,16.24495,0.97526,1,0.51559,0.5202100000000001,0.20631,1,7:47:43 AM,1536.5770000000002,2350000000000.0,,2.3510000000001128
114,T,Training,D20200305T0747,220562,1000.96,840.5712,0,-72.44800000000001,-27.8352,0.6763899999999999,3.97,1,89.0112,-30.8016,0.67594,3.92,1,1536.8192,-22.0752,1536.51,0.07434,5119,1,1540.0448,72.50399999999999,1,1522.0479999999998,17.3664,1,1531.0336,44.9424,1,1000.96,840.5712,18.14975,0.96745,1,1624.4479999999999,855.1584,16.29266,0.9510799999999999,1,0.5152100000000001,0.52037,0.20754,1,7:47:43 AM,1536.585,2350000000000.0,,2.3589999999999236
114,T,Training,D20200305T0747,220563,1000.0384,841.0176,0,-73.2672,-28.0224,0.67918,4.07,1,89.1904,-31.0464,0.6812199999999999,4.01,1,1536.1024,-13.536,1536.51,0.08044,5119,1,1541.0176,114.7104,1,1513.9072,62.9568,1,1527.4496,88.8336,1,1000.0384,841.0176,17.97045,0.94327,1,1623.3728,855.4032,17.11287,0.9269,1,0.5152100000000001,0.52037,0.20754,1,7:47:43 AM,1536.5910000000001,2350000000000.0,,2.365000000000009
114,T,Training,D20200305T0747,220564,999.296,841.0608,0,-73.2672,-28.0224,0.67918,4.08,1,89.1904,-31.0464,0.6812199999999999,4.15,1,1534.8224,-3.5712,1536.51,0.08691,5119,1,1484.9024,163.9584,1,1551.7184,88.0992,1,1518.3104,126.0288,1,999.296,841.0608,17.64801,0.9269,1,1622.5024,855.5904,16.55579,0.9269,1,0.51505,0.52045,0.20701,1,7:47:43 AM,1536.5970000000002,2350000000000.0,,2.3710000000000946
114,T,Training,D20200305T0747,220565,998.1952,841.5936,0,-73.2672,-28.0224,0.67918,4.29,1,89.1904,-31.0464,0.6812199999999999,4.17,1,1533.7216,4.3488,1536.51,0.09337999999999999,5119,1,1522.7904,179.49599999999998,1,1513.8816,50.9184,1,1518.336,115.2,1,998.1952,841.5936,17.97709,0.9269,1,1622.2464,855.1872,16.039,0.9269,1,0.51505,0.52045,0.20701,1,7:47:43 AM,1536.604,2350000000000.0,,2.377999999999929
114,T,Training,D20200305T0747,220566,998.2464,841.7952,0,-74.0608,-28.2672,0.6816800000000001,4.11,1,88.2944,-30.9168,0.6784600000000001,4.2,1,1532.7744,11.2752,1536.51,0.10046000000000001,5119,1,1522.7904,179.49599999999998,1,1513.8816,50.9184,1,1518.336,115.2,1,998.2464,841.7952,17.99689,0.9269,1,1620.9664,854.7984,16.25098,0.9269,1,0.51442,0.52062,0.20722,1,7:47:43 AM,1536.611,2350000000000.0,,2.384999999999991
114,T,Training,D20200305T0747,220567,997.7088,841.5648,0,-74.0608,-28.2672,0.6816800000000001,4.15,1,88.2944,-30.9168,0.6784600000000001,3.99,1,1532.5184,18.8496,1536.51,0.10693,5119,1,1537.3568,210.1104,1,1519.3344,69.9984,1,1528.3456,140.0544,1,997.7088,841.5648,17.427960000000002,0.9269,1,1620.6848,855.3456,16.77436,0.9269,1,0.51427,0.52063,0.20717,1,7:47:43 AM,1536.6170000000002,2350000000000.0,,2.3910000000000764
114,T,Training,D20200305T0747,220568,997.7344,841.6512,0,-74.0608,-28.2672,0.6816800000000001,4.11,1,88.2944,-30.9168,0.6784600000000001,3.97,1,1532.8,23.6304,1536.51,0.11389,5119,1,1503.4624,129.2112,1,1572.3008,80.64,1,1537.8688,104.9328,1,997.7344,841.6512,17.42087,0.9269,1,1620.6336,855.288,16.60033,0.9269,1,0.51427,0.52063,0.20717,1,7:47:43 AM,1536.624,2350000000000.0,,2.397999999999911
114,T,Training,D20200305T0747,220569,996.5056,842.04,0,-75.7248,-28.8576,0.69575,4.15,1,93.4144,-32.8032,0.7197899999999999,3.91,1,1533.3120000000001,26.351999999999997,1536.51,0.12134,5119,1,1502.8736,115.4592,1,1581.7216,35.3088,1,1542.2976,75.384,1,996.5056,842.04,18.53319,0.93471,1,1620.6592,855.0576,16.653270000000003,0.9510799999999999,1,0.5137,0.52062,0.20742,1,7:47:43 AM,1536.632,2350000000000.0,,2.405999999999949
114,T,Training,D20200305T0747,220570,996.5824,841.9104,0,-75.7248,-28.8576,0.69575,4.12,1,93.4144,-32.8032,0.7197899999999999,3.95,1,1524.48,62.2656,1536.51,0.12134,5119,0,1523.2256,57.9312,1,1550.8736,-47.1456,1,1537.0496,5.3856,1,996.5824,841.9104,18.2953,0.9588899999999999,1,1620.1728,855.216,16.86498,0.97526,1,0.51365,0.52061,0.20795,1,7:47:43 AM,1536.638,2350000000000.0,,2.411999999999807
114,T,Training,D20200305T0747,220571,996.2752,841.8672,0,-75.7248,-28.8576,0.69575,4.13,1,93.4144,-32.8032,0.7197899999999999,3.98,1,1529.7792,41.0544,1536.51,0.12134,5119,0,1519.872,83.3328,1,1550.2336,-43.6464,1,1535.0528,19.8432,1,996.2752,841.8672,17.95916,0.9830700000000001,1,1620.096,855.2448,16.826810000000002,0.99944,1,0.51365,0.52061,0.20795,1,7:47:43 AM,1536.644,2350000000000.0,,2.4179999999998927
114,T,Training,D20200305T0747,220572,995.9936,841.5072,0,-71.296,-27.0,0.65274,4.19,1,91.4176,-32.1552,0.7056,4.02,1,1531.4688,31.0608,1536.51,0.12134,5119,0,1519.3088,67.1616,1,1550.4896,-45.0288,1,1534.8992,11.0592,1,995.9936,841.5072,17.60846,0.99255,1,1620.2496,855.0864,16.64118,1.00019,1,0.51354,0.52051,0.20695,1,7:47:43 AM,1536.651,2350000000000.0,,2.4249999999999545
114,T,Training,D20200305T0747,220573,995.84,841.1904,0,-71.296,-27.0,0.65274,4.15,1,91.4176,-32.1552,0.7056,4.13,1,1532.2368,36.2016,1536.638,0.01965,5120,1,1570.7136,32.9616,1,1498.2144,70.3152,1,1534.464,51.6384,1,995.84,841.1904,17.73837,0.9854799999999999,1,1620.0704,854.6688,16.267129999999998,0.97675,1,0.51354,0.52051,0.20695,1,7:47:43 AM,1536.658,2350000000000.0,,2.431999999999789
114,T,Training,D20200305T0747,220574,995.7376,840.9312,0,-71.296,-27.0,0.65274,4.04,1,91.4176,-32.1552,0.7056,4.17,1,1527.7824,46.0656,1536.638,0.02625,5120,1,1554.2016,84.88799999999999,1,1465.7536,86.11200000000001,1,1509.9648,85.5072,1,995.7376,840.9312,17.68126,0.96205,1,1619.328,854.64,16.00386,0.9533200000000001,1,0.51345,0.52044,0.20670999999999998,1,7:47:43 AM,1536.664,2350000000000.0,,2.4379999999998745
114,T,Training,D20200305T0747,220575,995.6352,840.8448,0,-77.2608,-29.16,0.7048,4.07,1,90.2912,-31.8528,0.69899,4.15,1,1524.6336,55.2096,1536.638,0.03333,5120,1,1554.4576,100.0944,1,1463.2704,101.8368,1,1508.864,100.9584,1,995.6352,840.8448,17.74178,0.9533200000000001,1,1619.0208,854.424,16.05704,0.9445899999999999,1,0.51297,0.5200899999999999,0.20753000000000002,1,7:47:43 AM,1536.671,2350000000000.0,,2.4449999999999363
114,T,Training,D20200305T0747,220576,995.3536,841.2336,0,-77.2608,-29.16,0.7048,4.16,1,90.2912,-31.8528,0.69899,4.06,1,1528.832,58.6656,1536.638,0.04028,5120,1,1524.864,79.9056,1,1583.1808,78.7824,1,1554.0224,79.344,1,995.3536,841.2336,17.55248,0.95929,1,1618.5344,854.7552,16.44766,0.95929,1,0.51297,0.5200899999999999,0.20753000000000002,1,7:47:43 AM,1536.6779999999999,2350000000000.0,,2.451999999999771
114,T,Training,D20200305T0747,220577,995.4304,841.2048,0,-77.2608,-29.16,0.7048,4.16,1,90.2912,-31.8528,0.69899,4.1,1,1532.9024,60.3504,1536.638,0.04651,5120,1,1549.056,89.6688,1,1573.888,54.72,1,1561.4720000000002,72.1872,1,995.4304,841.2048,17.43423,0.9740000000000001,1,1618.2016,854.6544,16.2273,0.9740000000000001,1,0.51297,0.5200899999999999,0.20753000000000002,1,7:47:43 AM,1536.685,2350000000000.0,,2.4589999999998327
114,T,Training,D20200305T0747,220578,995.3536,841.32,0,-74.4704,-28.1376,0.67835,4.15,1,95.5392,-33.7536,0.74064,4.11,1,1536.384,59.4432,1536.638,0.05396,5120,1,1548.8256,77.8464,1,1579.7248,26.424,1,1564.2879999999998,52.128,1,995.3536,841.32,17.69106,0.9808899999999999,1,1619.0464,854.4960000000001,16.139879999999998,0.98962,1,0.51285,0.5201899999999999,0.20783000000000001,1,7:47:43 AM,1536.692,2350000000000.0,,2.4659999999998945
114,T,Training,D20200305T0747,220579,994.4576,841.824,0,-74.4704,-28.1376,0.67835,4.11,1,95.5392,-33.7536,0.74064,4.12,1,1535.4624,59.8176,1536.638,0.05969,5120,1,1539.6608,91.152,1,1514.3936,35.28,1,1527.0144,63.216,1,994.4576,841.824,18.1447,0.9818100000000001,1,1617.9456,854.6112,16.355710000000002,0.99054,1,0.51285,0.5201899999999999,0.20783000000000001,1,7:47:43 AM,1536.6979999999999,2350000000000.0,,2.4719999999997526
