participantNumber,TrialNumber,WorkloadCondition,SystemDate,SystemTime,MissionTime,TaskType,UAVNumber,MessageTime,MessageFrom,MessageResponseRequested,MessageContent,MessageCorrectAnswer,MessageAnswerAccuracy,MessageResponseTime,FLPlannedStartTime,FLRealStartTime,FLStopSystemTime,FLStopTime,FLResponseTime,FLAccuracy,TDWaypointOrder,TDWaypointLocation,TDTargetPresent,TDTargetSpawnTime,TDFinalInput,TDRespone,TDButtonClickTime,TDResponseTimestamp,TDResponseTime,RRTimePlanProjNFZ,RRTimeProjNFZ,RRTimeofRR,RRFinalInput,RRSuccessfulRR,RRResponseTime,Score,HighestPossibleScore
227,1,G,3/12/2020,34:00.4,110.1527,TargetDetection,11,,,,,,,,,,,,,,11,6,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:00.4,110.1527,TargetDetection,3,,,,,,,,,,,,,,11,2,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:00.4,110.1527,TargetDetection,13,,,,,,,,,,,,,,11,11,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:00.3,110.0175,TargetDetection,12,,,,,,,,,,,,,,11,3,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:00.3,110.0175,TargetDetection,7,,,,,,,,,,,,,,11,7,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:00.4,110.1527,TargetDetection,14,,,,,,,,,,,,,,11,5,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:00.2,109.997,TargetDetection,8,,,,,,,,,,,,,,11,15,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:00.2,109.9767,TargetDetection,10,,,,,,,,,,,,,,11,15,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:00.2,109.997,TargetDetection,5,,,,,,,,,,,,,,11,4,1,7,1,FN,,,,,,,,,,-100,50
227,1,G,3/12/2020,34:00.2,109.997,TargetDetection,6,,,,,,,,,,,,,,11,1,1,6,1,TP,115.7517,4.743299,0.7432985,,,,,,,100,100
227,1,G,3/12/2020,34:00.2,109.997,TargetDetection,16,,,,,,,,,,,,,,11,10,1,8,1,TP,119.522,8.513594,6.513594,,,,,,,100,100
227,1,G,3/12/2020,34:00.3,110.0175,TargetDetection,9,,,,,,,,,,,,,,11,16,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:00.2,109.9767,TargetDetection,4,,,,,,,,,,,,,,11,11,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:00.3,110.0175,TargetDetection,2,,,,,,,,,,,,,,11,9,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:10.1,119.9156,TargetDetection,15,,,,,,,,,,,,,,12,1,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:10.2,119.995,TargetDetection,1,,,,,,,,,,,,,,12,11,1,5,1,TP,127.7122,8.699682,3.699682,,,,,,,100,100
227,1,G,3/12/2020,34:10.2,120.0145,TargetDetection,13,,,,,,,,,,,,,,12,15,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:10.2,120.0145,TargetDetection,12,,,,,,,,,,,,,,12,4,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:10.2,120.0145,TargetDetection,7,,,,,,,,,,,,,,12,8,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:10.2,120.0145,TargetDetection,14,,,,,,,,,,,,,,12,9,1,6,1,TP,126.2553,5.750921,1.750921,,,,,,,100,100
227,1,G,3/12/2020,34:10.2,120.0145,TargetDetection,8,,,,,,,,,,,,,,12,16,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:10.2,120.0145,TargetDetection,10,,,,,,,,,,,,,,12,16,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:10.2,120.0145,TargetDetection,5,,,,,,,,,,,,,,12,12,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:10.2,120.0145,TargetDetection,16,,,,,,,,,,,,,,12,14,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:10.3,120.0548,TargetDetection,9,,,,,,,,,,,,,,12,12,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:10.3,120.0548,TargetDetection,4,,,,,,,,,,,,,,12,4,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:10.3,120.0548,TargetDetection,2,,,,,,,,,,,,,,12,10,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:10.2,120.0145,TargetDetection,6,,,,,,,,,,,,,,12,3,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:10.1,119.9156,TargetDetection,3,,,,,,,,,,,,,,12,5,1,6,1,TP,129.4164,8.414701,4.414701,,,,,,,100,100
227,1,G,3/12/2020,34:19.2,129.0187,ChatMessage,,129.0187,HQ,1,[2:09] HQ: Was UAV 13 ever headed for the NFZ? - Respond (Yes/No),No,,,,,,,,,,,,,,,,,,,,,,,,,
227,1,G,3/12/2020,34:28.5,138.3165,ChatMessage,,138.3165,user,,[2:18] You: No,,1,9.297775,,,,,,,,,,,,,,,,,,,,,,30,30
